City,State,Median Age,Male Population,Female Population,Total Population,Number of Veterans,Foreign-born,Average Household Size,State Code,American Indian and Alaska Native,Asian,Black or African-American,Hispanic or Latino,White
San Tan Valley,Arizona,31.3,40429,42368,82797,4300,5757,3.44,AZ,3941,1378,2027,18733,75429
Sandy,Utah,34.6,46923,46689,93612,3451,6691,3.22,UT,507,5657,522,6832,85130
Sandy Springs,Georgia,35.4,48570,56777,105347,3015,19837,2.4,GA,1574,7909,15420,13670,78835
Santa Ana,California,30.8,167503,167920,335423,4735,152999,4.58,CA,4838,37651,5813,262436,163096
Santa Barbara,California,37.8,45068,46784,91852,4518,19441,2.51,CA,1560,4964,2013,31102,73659
Santa Clara,California,35.2,63278,62938,126216,4426,52281,2.75,CA,1354,58360,4580,22402,55847
Santa Clarita,California,38.1,90192,92175,182367,8537,40666,3.02,CA,4441,23168,9223,56944,144949
Santa Fe,New Mexico,44.1,40601,43511,84112,5083,13824,2.41,NM,2960,1878,1284,45884,75494
Santa Maria,California,30.1,53320,51762,105082,2876,39192,3.83,CA,1575,5058,1237,81551,90403
Santa Monica,California,40.6,46732,46487,93219,2008,24448,2,CA,2197,13283,9663,14973,70365
Santa Rosa,California,37.9,86840,88149,174989,9101,33015,2.7,CA,8859,13496,7157,54578,138506
Savannah,Georgia,30.3,69389,76295,145684,9717,10355,2.57,GA,2116,5366,82307,9734,57690
Schaumburg,Illinois,36.9,35971,39840,75811,2019,24614,2.72,IL,633,21571,2071,12545,43688
Schenectady,New York,36.7,32398,32901,65299,3388,10961,2.82,NY,1059,5140,15640,5957,40278
Scottsdale,Arizona,46.9,115712,121132,236844,16798,27207,2.17,AZ,7003,11555,5279,24766,205512
Scranton,Pennsylvania,38.5,37975,39137,77112,5059,8069,2.39,PA,"",4722,6256,11301,66875
Seattle,Washington,35.5,345659,338784,684443,29364,119840,2.13,WA,12804,121507,61974,43060,511401
Shawnee,Kansas,40.1,32313,32745,65058,3575,4136,2.64,KS,485,3093,7296,4864,55883
Shreveport,Louisiana,35.2,93138,103856,196994,14287,5658,2.53,LA,1647,4033,112923,5081,79319
Silver Spring,Maryland,33.8,40601,41862,82463,1562,30908,2.6,MD,1084,8841,21330,25924,37756
Simi Valley,California,39,63243,63523,126766,6063,23260,3.13,CA,2474,14984,2378,34032,107898
Sioux City,Iowa,34.3,38827,43949,82776,4093,7471,2.57,IA,1956,3400,3994,15602,70513
Sioux Falls,South Dakota,34.6,86596,84934,171530,8658,12934,2.38,SD,4623,4689,10904,9388,149298
Skokie,Illinois,43.4,31382,33437,64819,1066,27424,2.78,IL,"",20272,4937,6590,40642
Somerville,Massachusetts,31,41028,39306,80334,2103,22292,2.43,MA,374,9498,7140,8790,62927
South Bend,Indiana,32.4,50483,53274,103757,3708,8779,2.72,IN,411,1788,30005,16462,71391
South Gate,California,32.5,47758,48641,96399,724,40571,3.97,CA,618,971,1615,91312,55444
South Jordan,Utah,33.8,33669,32970,66639,2595,6142,3.61,UT,"",2487,"",4672,59046
South San Francisco,California,39.4,34177,33094,67271,1839,27528,3.33,CA,535,23008,2327,29173,28135
Southfield,Michigan,41.6,31369,41808,73177,4035,4011,2.27,MI,983,1345,54200,573,18296
Sparks,Nevada,36.1,47780,48318,96098,7315,15690,2.63,NV,2019,7915,4226,29159,78737
Spokane,Washington,36.6,102756,110511,213267,18044,13253,2.34,WA,7192,9059,10045,13365,193143
Spokane Valley,Washington,36,49933,44975,94908,7984,4199,2.39,WA,2473,1336,1192,5110,91125
Spring Hill,Florida,45.1,48295,54902,103197,9737,7893,2.58,FL,1254,2409,7689,15838,91742
Spring Valley,Nevada,37,96808,97147,193955,10644,61072,2.79,NV,2215,45059,29031,40374,111763
Springdale,Arkansas,31.8,36840,43614,80454,3397,19969,3.04,AR,547,1422,1859,30200,56843
Springfield,Illinois,38.8,55639,62170,117809,7525,4264,2.22,IL,1602,3871,25327,2738,90935
Springfield,Massachusetts,31.8,74744,79592,154336,5723,16226,2.81,MA,2087,5606,35284,69209,97171
Springfield,Missouri,34.1,81057,85741,166798,12291,7765,2.12,MO,2777,5725,10026,7100,151686
Stamford,Connecticut,35.4,64941,63936,128877,2269,44003,2.7,CT,1416,11013,24329,33197,85620
Sterling Heights,Michigan,39.6,64985,67077,132062,6970,34313,2.66,MI,"",12264,8054,2811,112743
Stockton,California,32.5,150976,154674,305650,12822,79583,3.16,CA,19834,76859,41161,128216,170878
Suffolk,Virginia,38.2,43048,45113,88161,10114,2829,2.72,VA,504,2248,39107,3539,46458
Sugar Land,Texas,42.1,43889,44240,88129,4377,31169,2.95,TX,"",33469,8993,7835,44555
Sunnyvale,California,35.7,79480,72280,151760,3900,71441,2.74,CA,1179,69472,4210,25638,71463
Sunrise,Florida,37.7,41471,51235,92706,4108,38209,2.98,FL,"",3501,33951,29163,54976
Sunrise Manor,Nevada,32.5,93505,99103,192608,10663,56530,3.25,NV,3962,16165,29483,99838,109960
Surprise,Arizona,39.4,62875,65567,128442,11109,9929,2.9,AZ,1883,3153,9079,25366,115419
Syracuse,New York,30.3,69462,74690,144152,5845,17733,2.39,NY,3606,9386,46026,13368,88679
Tacoma,Washington,37.7,100914,107036,207950,19040,31863,2.48,WA,5549,26909,30914,25764,149859
Tallahassee,Florida,26.2,89390,100504,189894,9575,16720,2.38,FL,1368,10035,69135,13538,112800
Tampa,Florida,35.3,175517,193511,369028,20636,58795,2.47,FL,2915,15814,92156,95154,257552
Temecula,California,34.2,54407,57619,112026,7587,18884,3.34,CA,2236,14532,5698,36246,85130
Tempe,Arizona,28.8,91350,84476,175826,7058,26620,2.44,AZ,4636,17338,11293,44404,130346
Temple,Texas,33.6,33512,38785,72297,7333,3968,2.59,TX,1615,1781,14747,21372,54698
The Villages,Florida,70.5,"","",72590,15231,4034,"",FL,"","",331,1066,72211
The Woodlands,Texas,38.8,56083,63061,119144,8351,21188,2.93,TX,2427,8828,6420,19574,106202
Thornton,Colorado,33.1,65482,67977,133459,7261,17949,2.97,CO,2967,7034,4569,49241,119264
Thousand Oaks,California,44.8,65113,64216,129329,6323,25330,2.79,CA,2690,16134,3229,26754,108375
Toledo,Ohio,36.1,135455,144323,279778,15286,9257,2.29,OH,3942,6850,85552,23614,188325
Toms River,New Jersey,43.7,43864,43886,87750,5042,6852,2.71,NJ,251,4691,3703,10267,79538
Topeka,Kansas,37.1,60879,66378,127257,9608,6711,2.32,KS,4804,3127,15030,18640,108035
Torrance,California,41.2,73209,75259,148468,8459,43096,2.7,CA,3638,54317,5906,25699,80498
Town 'n' Country,Florida,38.1,39410,39586,78996,4534,22135,2.61,FL,1622,3347,9575,37944,64441
Tracy,California,35.5,43156,43937,87093,3025,25410,3.42,CA,2120,16856,5241,32810,58041
Trenton,New Jersey,33.3,42581,41650,84231,2604,20428,3.04,NJ,98,1437,43471,30613,37683
Troy,Michigan,43.3,42371,40905,83276,2975,21004,2.59,MI,1677,22721,5294,2400,56175
Tucson,Arizona,33.6,264893,266781,531674,38182,82220,2.45,AZ,24409,24689,33900,231025,404342
Tulsa,Oklahoma,35,197437,205654,403091,24672,43751,2.37,OK,42129,16318,72643,61217,279127
Turlock,California,36.2,33190,39103,72293,3397,14686,2.76,CA,1187,5232,2307,23559,59308
Tuscaloosa,Alabama,29.1,47293,51045,98338,3647,4706,2.67,AL,261,2733,42331,2475,52603
Tustin,California,33.4,39511,41052,80563,2434,25034,3.27,CA,538,16074,2954,33998,39660
Tyler,Texas,33.9,50422,53283,103705,4813,8225,2.59,TX,1057,2543,26156,21536,72728
Union City,California,38.5,38599,35911,74510,1440,32752,3.46,CA,243,44849,5508,13207,16845
Union City,New Jersey,35.4,35376,33773,69149,705,40553,2.85,NJ,545,4044,4686,53174,50031
Upland,California,39.7,36226,40221,76447,2898,16552,2.77,CA,1068,9182,5717,30787,46704
Urban Honolulu,Hawaii,41.4,176807,175959,352766,23213,101312,2.69,HI,5592,240978,11781,24586,110508
Vacaville,California,35.8,50091,46703,96794,9064,10577,2.9,CA,3140,9273,18023,23395,66825
Vallejo,California,37.8,58379,62890,121269,8103,30592,2.83,CA,1671,34753,26778,28977,56169
Vancouver,Washington,37.2,82958,89895,172853,12391,21748,2.49,WA,4541,10882,7520,23184,149863
Victoria,Texas,35.8,32290,35291,67581,5000,4480,2.7,TX,"",2032,6058,34409,58798
Victorville,California,30.6,60989,61247,122236,7484,21959,3.47,CA,5305,7755,26747,60569,86648
Virginia Beach,Virginia,35.4,222684,230061,452745,54995,38360,2.61,VA,4590,38715,99948,36309,324924
Visalia,California,32.6,63695,66399,130094,5547,20779,3.11,CA,2113,11523,2525,63482,107322
Vista,California,29.3,50680,50204,100884,4957,23271,3.52,CA,"",7189,5164,49524,83529
Waco,Texas,29.3,63452,68890,132342,10716,14235,2.57,TX,794,4230,29883,40585,96958
Waldorf,Maryland,33.6,35640,39872,75512,6932,5954,2.69,MD,1918,4100,47334,4810,26788
Walnut Creek,California,47.6,31994,36912,68906,4977,13624,2.22,CA,"",10831,1705,5212,57064
Warner Robins,Georgia,31.4,35093,38909,74002,6974,3210,2.5,GA,1309,2723,29307,5378,42306
Warren,Michigan,43.2,64063,71293,135356,7806,18822,2.45,MI,1516,12156,29391,3210,96357
Warwick,Rhode Island,42.6,39289,42409,81698,5799,5318,2.4,RI,"",2685,1212,4723,76999
Washington,District of Columbia,33.8,319705,352523,672228,25963,95117,2.24,DC,6130,35072,328786,71129,285402
Waterbury,Connecticut,36.2,52235,56572,108807,3493,19967,2.71,CT,492,4080,26972,38222,69075
Waterloo,Iowa,37.2,34488,33969,68457,4800,5082,2.42,IA,467,1636,11815,4961,51252
Waukegan,Illinois,32.3,45514,42833,88347,3404,30997,2.92,IL,677,4933,11697,54214,65629
Waukesha,Wisconsin,35.8,36263,35713,71976,3116,4982,2.35,WI,481,2904,1923,9713,66757
West Covina,California,39.8,51629,56860,108489,3800,37038,3.56,CA,518,32716,3693,58907,48046
West Jordan,Utah,30.8,57898,54044,111942,3577,11492,3.46,UT,1211,3539,3179,21315,100150
West Palm Beach,Florida,39.6,49262,57520,106782,4917,30675,2.53,FL,406,3191,39226,26132,60648
West Valley City,Utah,30.7,68235,67989,136224,4880,30712,3.81,UT,4851,9550,3222,44080,89145
Westland,Michigan,39.9,37742,44253,81995,4756,6429,2.41,MI,429,4843,16422,2827,60576
Westminster,California,42.9,45538,46573,92111,3435,42227,3.27,CA,1022,46560,2270,19111,37593
Westminster,Colorado,37.8,54866,58251,113117,6512,11361,2.63,CO,1444,8668,3228,23355,100084
Weston,Florida,38.6,32956,36991,69947,1507,30876,3.34,FL,128,4130,3697,36687,61021
Whittier,California,36.1,44397,43039,87436,2790,17145,3.11,CA,680,3503,1262,61249,49388
Wichita,Kansas,34.6,192354,197601,389955,23978,40270,2.56,KS,8791,25210,52592,65162,305910
Wichita Falls,Texas,34,55775,48934,104709,7800,9855,2.41,TX,1503,3688,14529,23061,82860
Wilmington,Delaware,36.4,32680,39277,71957,3063,3336,2.45,DE,414,1193,44182,5516,23743
Wilmington,North Carolina,35.5,52346,63601,115947,5908,7401,2.24,NC,742,3152,23578,6811,89270
Winston-Salem,North Carolina,34.7,112520,128712,241232,14521,24302,2.47,NC,1415,6484,87480,38321,139301
Woodbury,Minnesota,37.7,31982,35868,67850,2732,9477,2.72,MN,"",7758,6054,3258,56216
Worcester,Massachusetts,34.9,90951,93855,184806,9408,36907,2.43,MA,1917,15932,27491,39000,131898
Wyoming,Michigan,32.8,35967,39310,75277,3447,8612,2.65,MI,2444,3227,8839,15325,58989
Yakima,Washington,34,45147,48553,93700,4705,15717,2.74,WA,2042,2248,924,44172,79286
Yonkers,New York,38,96580,104538,201118,4801,61247,2.8,NY,1112,13981,38731,73608,129492
Yorba Linda,California,45.5,31960,36006,67966,3171,15532,3,CA,211,17616,1326,10599,49980
Youngs,Ohio,37.5,30758,33851,64609,3620,1058,2.22,OH,875,247,31725,7564,33031
Yuba City,California,34.5,33654,33290,66944,4706,18032,2.9,CA,2163,15065,1912,20890,48746
Yuma,Arizona,33.4,48298,45847,94145,7182,19326,2.64,AZ,1228,1180,3731,57054,69691
