V1,V2,V3,V4,V5,V6,V7,V8
0.40553409,-2.886756684,3,1.994641422,0.755679434,-1.431870073,7.834786247,-4.063
-1.484718041,-2.392995106,5,-0.394325408,-4.010995434,0.616703108,-1.113724481,1.656
-5.272996996,-1.818403107,4,-0.839763276,-0.352215987,2.819682219,0.56286424,-4.532
-5.784776863,-2.023116372,-3,0.090271563,-3.751362977,-0.564361085,2.444877956,-4.492
-0.458443094,1.895003887,-1,0.531972146,-4.975296552,-2.9873322,0.890917721,4.701
-1.536151887,-1.046033872,-4,0.893961853,2.582136755,6.029854171,3.75089312,4.662
1.516609544,1.696909919,0,11.11518014,2.340037496,-0.443445977,1.780239798,-3.951
0.570975058,-2.706523256,1,0.619335474,1.194042193,-2.091661881,0.283261929,3.996
-0.040894865,2.591016222,-1,0.368852245,3.889105883,2.077598273,-0.092121364,-2.828
-0.590897026,-0.370037692,-1,-2.137628045,1.310586096,-3.073383091,-2.318808451,3.045
1.040310536,-1.112816059,-3,-0.618495449,-2.922504709,0.517283725,4.677987072,2.147
0.255645107,9.542100604,-5,-0.131751712,-2.336720248,-6.374806979,2.398486797,4.48
-0.855930771,-2.91203169,-2,-0.232658569,1.784491713,7.397738991,2.756363457,-1.228
0.104472394,-1.366279033,7,0.066625457,-3.302545083,-1.941948193,-4.327752533,-1.557
1.390432043,-2.746607163,-1,-3.424579244,-1.852934174,6.344932216,-2.289036905,3.266
1.85956127,-1.658295368,-5,0.089773222,1.286568953,-0.934748457,0.009272878,3.792
-0.434236518,-0.006336752,-1,0.273557079,-1.784471003,0.622644711,-0.396698007,-3.824
-1.718799161,-2.562207324,-5,-8.294694798,3.141531994,-5.977710069,0.443251589,3.341
1.223478079,-2.471399237,-1,-4.797539685,-1.274228831,-7.027284451,-0.821710745,4.987
-0.89155591,-1.492675646,0,-1.310139412,2.110965523,3.77100817,2.15350009,1.51
1.966460898,-1.81227183,5,1.104868108,-1.892184692,2.651104259,-1.941420093,4.829
-0.758467377,-0.741570683,-2,-16.55888534,5.497468377,-3.660188858,1.179864897,-4.677
0.701659123,-2.047418228,-1,0.507369538,-3.940951589,4.515531523,2.424407389,-2.789
-0.116739451,-0.128060348,1,0.250354216,2.317175848,-7.300941681,-2.064467685,2.583
0.560272359,-0.779256708,-5,-0.408364742,1.22594452,-2.03906513,-3.067607068,3.901
0.657629119,-1.186999264,-1,1.316642294,-3.438545064,6.19041996,5.057162318,-4.642
0.749046405,2.091213539,1,1.294520386,3.582103607,3.942819567,-0.541460091,-3.6
1.897530083,-1.909019995,5,2.837495708,4.64092805,-5.320951699,-1.516286812,-3.156
-1.276295435,-0.1877315,0,0.03259625,-3.007794562,4.806318782,-1.101339782,-3.824
0.96875364,-1.91995855,1,-2.277672257,-0.978180577,-3.717985541,-0.17323395,3.223
1.294851655,7.544423941,1,0.151747698,2.993844702,5.855053827,-1.501214185,2.774
-1.527903044,-1.933485697,3,0.666590027,2.145547121,-3.42343047,0.116883863,2.548
-0.264305988,0.186192222,1,5.132284809,-1.583226753,-0.838012264,-0.973045186,3.615
