month,day,halfyear,draftnumber,calledup
6,15,first,180,yes
6,16,first,274,no
6,17,first,73,yes
6,18,first,341,no
6,19,first,104,yes
6,20,first,360,no
6,21,first,60,yes
6,22,first,247,no
6,23,first,109,yes
6,24,first,358,no
6,25,first,137,yes
6,26,first,22,yes
6,27,first,64,yes
6,28,first,222,no
6,29,first,353,no
6,30,first,209,no
7,1,second,93,yes
7,2,second,350,no
7,3,second,115,yes
7,4,second,279,no
7,5,second,188,yes
7,6,second,327,no
7,7,second,50,yes
7,8,second,13,yes
7,9,second,277,no
7,10,second,284,no
7,11,second,248,no
7,12,second,15,yes
7,13,second,42,yes
7,14,second,331,no
7,15,second,322,no
7,16,second,120,yes
7,17,second,98,yes
7,18,second,190,yes
7,19,second,227,no
7,20,second,187,yes
7,21,second,27,yes
7,22,second,153,yes
7,23,second,172,yes
7,24,second,23,yes
7,25,second,67,yes
7,26,second,303,no
7,27,second,289,no
7,28,second,88,yes
7,29,second,270,no
7,30,second,287,no
7,31,second,193,yes
8,1,second,111,yes
8,2,second,45,yes
8,3,second,261,no
8,4,second,145,yes
8,5,second,54,yes
8,6,second,114,yes
8,7,second,168,yes
8,8,second,48,yes
8,9,second,106,yes
8,10,second,21,yes
8,11,second,324,no
8,12,second,142,yes
8,13,second,307,no
8,14,second,198,no
8,15,second,102,yes
8,16,second,44,yes
8,17,second,154,yes
8,18,second,141,yes
8,19,second,311,no
8,20,second,344,no
8,21,second,291,no
8,22,second,339,no
8,23,second,116,yes
8,24,second,36,yes
8,25,second,286,no
8,26,second,245,no
8,27,second,352,no
8,28,second,167,yes
8,29,second,61,yes
8,30,second,333,no
8,31,second,11,yes
9,1,second,225,no
9,2,second,161,yes
9,3,second,49,yes
9,4,second,232,no
9,5,second,82,yes
9,6,second,6,yes
9,7,second,8,yes
9,8,second,184,yes
9,9,second,263,no
9,10,second,71,yes
9,11,second,158,yes
9,12,second,242,no
9,13,second,175,yes
9,14,second,1,yes
9,15,second,113,yes
9,16,second,207,no
9,17,second,255,no
9,18,second,246,no
9,19,second,177,yes
9,20,second,63,yes
9,21,second,204,no
9,22,second,160,yes
9,23,second,119,yes
9,24,second,195,yes
9,25,second,149,yes
9,26,second,18,yes
9,27,second,233,no
9,28,second,257,no
9,29,second,151,yes
9,30,second,315,no
10,1,second,359,no
10,2,second,125,yes
10,3,second,244,no
10,4,second,202,no
10,5,second,24,yes
10,6,second,87,yes
10,7,second,234,no
10,8,second,283,no
10,9,second,342,no
10,10,second,220,no
10,11,second,237,no
10,12,second,72,yes
10,13,second,138,yes
10,14,second,294,no
10,15,second,171,yes
10,16,second,254,no
10,17,second,288,no
10,18,second,5,yes
10,19,second,241,no
10,20,second,192,yes
10,21,second,243,no
10,22,second,117,yes
10,23,second,201,no
10,24,second,196,no
10,25,second,176,yes
10,26,second,7,yes
10,27,second,264,no
10,28,second,94,yes
10,29,second,229,no
10,30,second,38,yes
10,31,second,79,yes
11,1,second,19,yes
11,2,second,34,yes
11,3,second,348,no
11,4,second,266,no
11,5,second,310,no
11,6,second,76,yes
11,7,second,51,yes
11,8,second,97,yes
11,9,second,80,yes
11,10,second,282,no
11,11,second,46,yes
11,12,second,66,yes
11,13,second,126,yes
11,14,second,127,yes
11,15,second,131,yes
11,16,second,107,yes
11,17,second,143,yes
11,18,second,146,yes
11,19,second,203,no
11,20,second,185,yes
11,21,second,156,yes
11,22,second,9,yes
11,23,second,182,yes
11,24,second,230,no
11,25,second,132,yes
11,26,second,309,no
11,27,second,47,yes
11,28,second,281,no
11,29,second,99,yes
11,30,second,174,yes
12,1,second,129,yes
12,2,second,328,no
12,3,second,157,yes
12,4,second,165,yes
12,5,second,56,yes
12,6,second,10,yes
12,7,second,12,yes
12,8,second,105,yes
12,9,second,43,yes
12,10,second,41,yes
12,11,second,39,yes
12,12,second,314,no
12,13,second,163,yes
12,14,second,26,yes
12,15,second,320,no
12,16,second,96,yes
12,17,second,304,no
12,18,second,128,yes
12,19,second,240,no
12,20,second,135,yes
12,21,second,70,yes
12,22,second,53,yes
12,23,second,162,yes
12,24,second,95,yes
12,25,second,84,yes
12,26,second,173,yes
12,27,second,78,yes
12,28,second,123,yes
12,29,second,16,yes
12,30,second,3,yes
12,31,second,100,yes
