year,month,date,average,sd
1758,9,1758.707,62.5,25.1
1758,10,1758.79,37.7,19.3
1758,11,1758.874,43,20.6
1758,12,1758.958,43,20.6
1759,1,1759.042,48.3,21.9
1759,2,1759.123,44,20.9
1759,3,1759.204,46.8,21.6
1759,4,1759.288,47,21.6
1759,5,1759.371,49,22.1
1759,6,1759.455,50,22.3
1759,7,1759.538,51,22.6
1759,8,1759.623,71.3,26.9
1759,9,1759.707,77.2,28
1759,10,1759.79,59.7,24.5
1759,11,1759.874,46.3,21.5
1759,12,1759.958,57,23.9
1760,1,1760.042,67.3,26.1
1760,2,1760.124,59.5,24.5
1760,3,1760.206,74.7,27.5
1760,4,1760.29,58.3,24.2
1760,5,1760.373,72,27
1760,6,1760.456,48.3,21.9
1760,7,1760.54,66,25.8
1760,8,1760.624,75.6,27.7
1760,9,1760.708,61.3,24.8
1760,10,1760.791,50.6,22.5
1760,11,1760.874,59.7,24.5
1760,12,1760.958,61,24.8
1761,1,1761.042,70,26.6
1761,2,1761.123,91,30.5
1761,3,1761.204,80.7,28.6
1761,4,1761.288,71.7,26.9
1761,5,1761.371,107.2,33.2
1761,6,1761.455,99.3,31.9
1761,7,1761.538,94.1,31
1761,8,1761.623,91.1,30.5
1761,9,1761.707,100.7,32.1
1761,10,1761.79,88.7,30.1
1761,11,1761.874,89.7,30.3
1761,12,1761.958,46,21.4
1762,1,1762.042,43.8,20.8
1762,2,1762.123,72.8,27.2
1762,3,1762.204,45.7,21.3
1762,4,1762.288,60.2,24.6
1762,5,1762.371,39.9,19.8
1762,6,1762.455,77.1,28
1762,7,1762.538,33.8,18.2
1762,8,1762.623,67.7,26.2
1762,9,1762.707,68.5,26.3
1762,10,1762.79,69.3,26.5
1762,11,1762.874,77.8,28.1
1762,12,1762.958,77.2,28
1763,1,1763.042,56.5,23.8
1763,2,1763.123,31.9,17.6
1763,3,1763.204,34.2,18.3
1763,4,1763.288,32.9,17.9
1763,5,1763.371,32.7,17.9
1763,6,1763.455,35.8,18.7
1763,7,1763.538,54.2,23.3
1763,8,1763.623,26.5,16
1763,9,1763.707,68.1,26.2
1763,10,1763.79,46.3,21.5
1763,11,1763.874,60.9,24.8
1763,12,1763.958,61.4,24.9
1764,1,1764.042,59.7,24.5
1764,2,1764.124,59.7,24.5
1764,3,1764.206,40.2,19.9
1764,4,1764.29,34.4,18.4
1764,5,1764.373,44.3,21
1764,6,1764.456,30,17.1
1764,7,1764.54,30,17.1
1764,8,1764.624,30,17.1
1764,9,1764.708,28.2,16.5
1764,10,1764.791,28,16.5
1764,11,1764.874,26,15.8
1764,12,1764.958,25.7,15.7
1765,1,1765.042,24,15.2
1765,2,1765.123,26,15.8
1765,3,1765.204,25,15.5
1765,4,1765.288,22,14.5
1765,5,1765.371,20.2,13.8
1765,6,1765.455,20,13.8
1765,7,1765.538,27,16.1
1765,8,1765.623,29.7,17
1765,9,1765.707,16,12.2
1765,10,1765.79,14,11.3
1765,11,1765.874,14,11.3
1765,12,1765.958,13,10.9
1766,1,1766.042,12,10.4
1766,2,1766.123,11,9.9
1766,3,1766.204,36.6,19
1766,4,1766.288,6,7.1
1766,5,1766.371,26.8,16.1
1766,6,1766.455,3,4.7
1766,7,1766.538,3.3,5
1766,8,1766.623,4,5.6
1766,9,1766.707,4.3,5.8
1766,10,1766.79,5,6.4
1766,11,1766.874,5.7,6.9
1766,12,1766.958,19.2,13.5
1767,1,1767.042,27.4,16.3
1767,2,1767.123,30,17.1
1767,3,1767.204,43,20.6
1767,4,1767.288,32.9,17.9
1767,5,1767.371,29.8,17
1767,6,1767.455,33.3,18
1767,7,1767.538,21.9,14.4
1767,8,1767.623,40.8,20.1
1767,9,1767.707,42.7,20.6
1767,10,1767.79,44.1,20.9
1767,11,1767.874,54.7,23.4
1767,12,1767.958,53.3,23.1
1768,1,1768.042,53.5,23.1
1768,2,1768.124,66.1,25.8
1768,3,1768.206,46.3,21.5
1768,4,1768.29,42.7,20.6
1768,5,1768.373,77.7,28.1
1768,6,1768.456,77.4,28
1768,7,1768.54,52.6,22.9
1768,8,1768.624,66.8,26
1768,9,1768.708,74.8,27.5
1768,10,1768.791,77.8,28.1
1768,11,1768.874,90.6,30.4
1768,12,1768.958,111.8,33.9
1769,1,1769.042,73.9,27.4
1769,2,1769.123,64.2,25.4
1769,3,1769.204,64.3,25.5
1769,4,1769.288,96.7,31.5
1769,5,1769.371,73.6,27.3
1769,6,1769.455,94.4,31.1
1769,7,1769.538,118.6,34.9
1769,8,1769.623,120.3,35.2
1769,9,1769.707,148.8,39.3
1769,10,1769.79,158.2,40.5
1769,11,1769.874,148.1,39.2
1769,12,1769.958,112,33.9
1770,1,1770.042,104,32.7
1770,2,1770.123,142.5,38.4
1770,3,1770.204,80.1,28.5
1770,4,1770.288,51,22.6
1770,5,1770.371,70.1,26.6
1770,6,1770.455,83.3,29.1
1770,7,1770.538,109.8,33.6
1770,8,1770.623,126.3,36.1
1770,9,1770.707,104.4,32.7
1770,10,1770.79,103.6,32.6
1770,11,1770.874,132.2,36.9
1770,12,1770.958,102.3,32.4
1771,1,1771.042,36,18.8
1771,2,1771.123,46.2,21.4
1771,3,1771.204,46.7,21.6
1771,4,1771.288,64.9,25.6
1771,5,1771.371,152.7,39.8
1771,6,1771.455,119.5,35.1
1771,7,1771.538,67.7,26.2
1771,8,1771.623,58.5,24.2
1771,9,1771.707,101.4,32.2
1771,10,1771.79,90,30.3
1771,11,1771.874,99.7,32
1771,12,1771.958,95.7,31.3
1772,1,1772.042,100.9,32.1
1772,2,1772.124,90.8,30.4
1772,3,1772.206,31.1,17.4
1772,4,1772.29,92.2,30.7
1772,5,1772.373,38,19.3
1772,6,1772.456,57,23.9
1772,7,1772.54,77.3,28
1772,8,1772.624,56.2,23.7
1772,9,1772.708,50.5,22.5
1772,10,1772.791,78.6,28.3
1772,11,1772.874,61.3,24.8
1772,12,1772.958,64,25.4
1773,1,1773.042,54.6,23.4
1773,2,1773.123,29,16.8
1773,3,1773.204,51.2,22.6
1773,4,1773.288,32.9,17.9
1773,5,1773.371,41.1,20.2
1773,6,1773.455,28.4,16.6
1773,7,1773.538,27.7,16.4
1773,8,1773.623,12.7,10.8
1773,9,1773.707,29.3,16.9
1773,10,1773.79,26.3,15.9
1773,11,1773.874,40.9,20.1
1773,12,1773.958,43.2,20.7
1774,1,1774.042,46.8,21.6
1774,2,1774.123,65.4,25.7
1774,3,1774.204,55.7,23.6
1774,4,1774.288,43.8,20.8
1774,5,1774.371,51.3,22.6
1774,6,1774.455,28.5,16.6
1774,7,1774.538,17.5,12.8
1774,8,1774.623,6.6,7.5
1774,9,1774.707,7.9,8.3
1774,10,1774.79,14,11.3
1774,11,1774.874,17.7,12.9
1774,12,1774.958,12.2,10.5
1775,1,1775.042,4.4,5.9
1775,2,1775.123,0,1
1775,3,1775.204,11.6,10.2
1775,4,1775.288,11.2,10
1775,5,1775.371,3.9,5.5
1775,6,1775.455,12.3,10.6
1775,7,1775.538,1,2.3
1775,8,1775.623,7.9,8.3
1775,9,1775.707,3.2,4.9
1775,10,1775.79,5.6,6.8
1775,11,1775.874,15.1,11.8
1775,12,1775.958,7.9,8.3
1776,1,1776.042,21.7,14.4
1776,2,1776.124,11.6,10.2
1776,3,1776.206,6.3,7.3
1776,4,1776.29,21.8,14.4
1776,5,1776.373,11.2,10
1776,6,1776.456,19,13.4
1776,7,1776.54,1,2.3
1776,8,1776.624,24.2,15.2
1776,9,1776.708,16,12.2
1776,10,1776.791,30,17.1
1776,11,1776.874,35,18.5
1776,12,1776.958,40,19.9
1777,1,1777.042,45,21.1
1777,2,1777.123,36.5,18.9
1777,3,1777.204,39,19.6
1777,4,1777.288,95.5,31.2
1777,5,1777.371,80.3,28.6
1777,6,1777.455,80.7,28.6
1777,7,1777.538,95,31.2
1777,8,1777.623,112,33.9
1777,9,1777.707,116.2,34.6
1777,10,1777.79,106.5,33.1
1777,11,1777.874,146,38.9
1777,12,1777.958,157.3,40.4
1778,1,1778.042,177.3,42.9
1778,2,1778.123,109.3,33.5
1778,3,1778.204,134,37.2
1778,4,1778.288,145,38.7
1778,5,1778.371,238.9,50
1778,6,1778.455,171.6,42.2
1778,7,1778.538,153,39.8
1778,8,1778.623,140,38
1778,9,1778.707,171.7,42.2
1778,10,1778.79,156.3,40.3
1778,11,1778.874,150.3,39.5
1778,12,1778.958,105,32.8
1779,1,1779.042,114.7,34.3
1779,2,1779.123,165.7,41.5
1779,3,1779.204,118,34.8
1779,4,1779.288,145,38.7
1779,5,1779.371,140,38
1779,6,1779.455,113.7,34.2
1779,7,1779.538,143,38.5
1779,8,1779.623,112,33.9
1779,9,1779.707,111,33.8
1779,10,1779.79,124,35.7
1779,11,1779.874,114,34.2
1779,12,1779.958,110,33.6
1780,1,1780.042,70,26.6
1780,2,1780.124,98,31.7
1780,3,1780.206,98,31.7
1780,4,1780.29,95,31.2
1780,5,1780.373,107.2,33.2
1780,6,1780.456,88,30
1780,7,1780.54,86,29.6
1780,8,1780.624,86,29.6
1780,9,1780.708,93.7,30.9
1780,10,1780.791,77,28
1780,11,1780.874,60,24.6
1780,12,1780.958,58.7,24.3
1781,1,1781.042,98.7,31.8
1781,2,1781.123,74.7,27.5
1781,3,1781.204,53,23
1781,4,1781.288,68.3,26.3
1781,5,1781.371,104.7,32.8
1781,6,1781.455,97.7,31.6
1781,7,1781.538,73.5,27.3
1781,8,1781.623,66,25.8
1781,9,1781.707,51,22.6
1781,10,1781.79,27.3,16.2
1781,11,1781.874,67,26
1781,12,1781.958,35.2,18.6
1782,1,1782.042,54,23.2
1782,2,1782.123,37.5,19.2
1782,3,1782.204,37,19.1
1782,4,1782.288,41,20.1
1782,5,1782.371,54.3,23.3
1782,6,1782.455,38,19.3
1782,7,1782.538,37,19.1
1782,8,1782.623,44,20.9
1782,9,1782.707,34,18.2
1782,10,1782.79,23.2,14.9
1782,11,1782.874,31.5,17.5
1782,12,1782.958,30,17.1
1783,1,1783.042,28,16.5
1783,2,1783.123,38.7,19.5
1783,3,1783.204,26.7,16.1
1783,4,1783.288,28.3,16.6
1783,5,1783.371,23,14.8
1783,6,1783.455,25.2,15.6
1783,7,1783.538,32.2,17.7
1783,8,1783.623,20,13.8
1783,9,1783.707,18,13
1783,10,1783.79,8,8.3
1783,11,1783.874,15,11.8
1783,12,1783.958,10.5,9.7
1784,1,1784.042,13,10.9
1784,2,1784.124,8,8.3
1784,3,1784.206,11,9.9
1784,4,1784.29,10,9.4
1784,5,1784.373,6,7.1
1784,6,1784.456,9,8.9
1784,7,1784.54,6,7.1
1784,8,1784.624,10,9.4
1784,9,1784.708,10,9.4
1784,10,1784.791,8,8.3
1784,11,1784.874,17,12.6
1784,12,1784.958,14,11.3
1785,1,1785.042,6.5,7.4
1785,2,1785.123,8,8.3
1785,3,1785.204,9,8.9
1785,4,1785.288,15.7,12.1
1785,5,1785.371,20.7,14
1785,6,1785.455,26.3,15.9
1785,7,1785.538,36.3,18.9
1785,8,1785.623,20,13.8
1785,9,1785.707,32,17.7
1785,10,1785.79,47.2,21.7
1785,11,1785.874,40.2,19.9
1785,12,1785.958,27.3,16.2
1786,1,1786.042,37.2,19.1
1786,2,1786.123,47.6,21.8
1786,3,1786.204,47.7,21.8
1786,4,1786.288,85.4,29.5
1786,5,1786.371,92.3,30.7
1786,6,1786.455,59,24.3
1786,7,1786.538,83,29.1
1786,8,1786.623,89.7,30.3
1786,9,1786.707,111.5,33.8
1786,10,1786.79,112.3,34
1786,11,1786.874,116,34.5
1786,12,1786.958,112.7,34
1787,1,1787.042,134.7,37.3
1787,2,1787.123,106,33
1787,3,1787.204,87.4,29.9
1787,4,1787.288,127.2,36.2
1787,5,1787.371,134.8,37.3
1787,6,1787.455,99.2,31.9
1787,7,1787.538,128,36.3
1787,8,1787.623,137.2,37.7
1787,9,1787.707,157.3,40.4
1787,10,1787.79,157,40.3
1787,11,1787.874,141.5,38.3
1787,12,1787.958,174,42.5
1788,1,1788.042,138,37.8
1788,2,1788.124,129.2,36.5
1788,3,1788.206,143.3,38.5
1788,4,1788.29,108.5,33.4
1788,5,1788.373,113,34.1
1788,6,1788.456,154.2,40
1788,7,1788.54,141.5,38.3
1788,8,1788.624,136,37.5
1788,9,1788.708,141,38.2
1788,10,1788.791,142,38.3
1788,11,1788.874,94.7,31.1
1788,12,1788.958,129.5,36.6
1789,1,1789.042,114,34.2
1789,2,1789.123,125.3,35.9
1789,3,1789.204,120,35.1
1789,4,1789.288,123.3,35.6
1789,5,1789.371,123.5,35.7
1789,6,1789.455,120,35.1
1789,7,1789.538,117,34.7
1789,8,1789.623,103,32.5
1789,9,1789.707,112,33.9
1789,10,1789.79,89.7,30.3
1789,11,1789.874,134,37.2
1789,12,1789.958,135.5,37.4
1790,1,1790.042,103,32.5
1790,2,1790.123,127.5,36.3
1790,3,1790.204,96.3,31.4
1790,4,1790.288,94,31
1790,5,1790.371,93,30.8
1790,6,1790.455,91,30.5
1790,7,1790.538,69.3,26.5
1790,8,1790.623,87,29.8
1790,9,1790.707,77.3,28
1790,10,1790.79,84.3,29.3
1790,11,1790.874,82,28.9
1790,12,1790.958,74,27.4
1791,1,1791.042,72.7,27.1
1791,2,1791.123,62,25
1791,3,1791.204,74,27.4
1791,4,1791.288,77.2,28
1791,5,1791.371,73.7,27.3
1791,6,1791.455,64.2,25.4
1791,7,1791.538,71,26.8
1791,8,1791.623,43,20.6
1791,9,1791.707,66.5,25.9
1791,10,1791.79,61.7,24.9
1791,11,1791.874,67,26
1791,12,1791.958,66,25.8
1792,1,1792.042,58,24.1
1792,2,1792.124,64,25.4
1792,3,1792.206,63,25.2
1792,4,1792.29,75.7,27.7
1792,5,1792.373,62,25
1792,6,1792.456,61,24.8
1792,7,1792.54,45.8,21.3
1792,8,1792.624,60,24.6
1792,9,1792.708,59,24.3
1792,10,1792.791,59,24.3
1792,11,1792.874,57,23.9
1792,12,1792.958,56,23.7
1793,1,1793.042,56,23.7
1793,2,1793.123,55,23.5
1793,3,1793.204,55.5,23.6
1793,4,1793.288,53,23
1793,5,1793.371,52.3,22.9
1793,6,1793.455,51,22.6
1793,7,1793.538,50,22.3
1793,8,1793.623,29.3,16.9
1793,9,1793.707,24,15.2
1793,10,1793.79,47,21.6
1793,11,1793.874,44,20.9
1793,12,1793.958,45.7,21.3
1794,1,1794.042,45,21.1
1794,2,1794.123,44,20.9
1794,3,1794.204,38,19.3
1794,4,1794.288,28.4,16.6
1794,5,1794.371,55.7,23.6
1794,6,1794.455,41.5,20.3
1794,7,1794.538,41,20.1
1794,8,1794.623,40,19.9
1794,9,1794.707,11.1,10
1794,10,1794.79,28.5,16.6
1794,11,1794.874,67.4,26.1
1794,12,1794.958,51.4,22.7
1795,1,1795.042,21.4,14.3
1795,2,1795.123,39.9,19.8
1795,3,1795.204,12.6,10.7
1795,4,1795.288,18.6,13.2
1795,5,1795.371,31,17.4
1795,6,1795.455,17.1,12.6
1795,7,1795.538,12.9,10.9
1795,8,1795.623,25.7,15.7
1795,9,1795.707,13.5,11.1
1795,10,1795.79,19.5,13.6
1795,11,1795.874,25,15.5
1795,12,1795.958,18,13
1796,1,1796.042,22,14.5
1796,2,1796.124,23.8,15.1
1796,3,1796.206,15.7,12.1
1796,4,1796.29,31.7,17.6
1796,5,1796.373,21,14.1
1796,6,1796.456,6.7,7.5
1796,7,1796.54,26.9,16.1
1796,8,1796.624,1.5,3
1796,9,1796.708,18.4,13.2
1796,10,1796.791,11,9.9
1796,11,1796.874,8.4,8.6
1796,12,1796.958,5.1,6.5
1797,1,1797.042,14.4,11.5
1797,2,1797.123,4.2,5.8
1797,3,1797.204,4,5.6
1797,4,1797.288,4,5.6
1797,5,1797.371,7.3,7.9
1797,6,1797.455,11.1,10
1797,7,1797.538,4.3,5.8
1797,8,1797.623,6,7.1
1797,9,1797.707,5.7,6.9
1797,10,1797.79,6.9,7.7
1797,11,1797.874,5.8,6.9
1797,12,1797.958,3,4.7
1798,1,1798.042,2,3.7
1798,2,1798.123,4,5.6
1798,3,1798.204,12.4,10.6
1798,4,1798.288,1.1,2.5
1798,5,1798.371,0,1
1798,6,1798.455,0,1
1798,7,1798.538,0,1
1798,8,1798.623,3,4.7
1798,9,1798.707,2.4,4.1
1798,10,1798.79,1.5,3
1798,11,1798.874,12.5,10.7
1798,12,1798.958,9.9,9.4
1799,1,1799.042,1.6,3.2
1799,2,1799.123,12.6,10.7
1799,3,1799.204,21.7,14.4
1799,4,1799.288,8.4,8.6
1799,5,1799.371,8.2,8.4
1799,6,1799.455,10.6,9.7
1799,7,1799.538,2.1,3.8
1799,8,1799.623,0,1
1799,9,1799.707,0,1
1799,10,1799.79,4.6,6.1
1799,11,1799.874,2.7,4.4
1799,12,1799.958,8.6,8.7
1800,1,1800.042,6.9,7.7
1800,2,1800.123,9.3,9.1
1800,3,1800.204,13.9,11.3
1800,4,1800.288,0,1
1800,5,1800.371,5,6.4
1800,6,1800.455,23.7,15.1
1800,7,1800.538,21,14.1
1800,8,1800.623,19.5,13.6
1800,9,1800.707,11.5,10.2
1800,10,1800.79,12.3,10.6
1800,11,1800.874,10.5,9.7
1800,12,1800.958,40.1,19.9
1801,1,1801.042,27,16.1
1801,2,1801.123,29,16.8
1801,3,1801.204,30,17.1
1801,4,1801.288,31,17.4
1801,5,1801.371,32,17.7
1801,6,1801.455,31.2,17.4
1801,7,1801.538,35,18.5
1801,8,1801.623,38.7,19.5
1801,9,1801.707,33.5,18.1
1801,10,1801.79,32.6,17.8
1801,11,1801.874,39.8,19.8
1801,12,1801.958,48.2,21.9
1802,1,1802.042,47.8,21.8
1802,2,1802.123,47,21.6
1802,3,1802.204,40.8,20.1
1802,4,1802.288,42,20.4
1802,5,1802.371,44,20.9
1802,6,1802.455,46,21.4
1802,7,1802.538,48,21.9
1802,8,1802.623,50,22.3
1802,9,1802.707,51.8,22.8
1802,10,1802.79,38.5,19.5
1802,11,1802.874,34.5,18.4
1802,12,1802.958,50,22.3
1803,1,1803.042,50,22.3
1803,2,1803.123,50.8,22.5
1803,3,1803.204,29.5,16.9
1803,4,1803.288,25,15.5
1803,5,1803.371,44.3,21
1803,6,1803.455,36,18.8
1803,7,1803.538,48.3,21.9
1803,8,1803.623,34.1,18.3
1803,9,1803.707,45.3,21.2
1803,10,1803.79,54.3,23.3
1803,11,1803.874,51,22.6
1803,12,1803.958,48,21.9
1804,1,1804.042,45.3,21.2
1804,2,1804.124,48.3,21.9
1804,3,1804.206,48,21.9
1804,4,1804.29,50.6,22.5
1804,5,1804.373,33.4,18.1
1804,6,1804.456,34.8,18.5
1804,7,1804.54,29.8,17
1804,8,1804.624,43.1,20.7
1804,9,1804.708,53,23
1804,10,1804.791,62.3,25
1804,11,1804.874,61,24.8
1804,12,1804.958,60,24.6
1805,1,1805.042,61,24.8
1805,2,1805.123,44.1,20.9
1805,3,1805.204,51.4,22.7
1805,4,1805.288,37.5,19.2
1805,5,1805.371,39,19.6
1805,6,1805.455,40.5,20
1805,7,1805.538,37.6,19.2
1805,8,1805.623,42.7,20.6
1805,9,1805.707,44.4,21
1805,10,1805.79,29.4,16.9
1805,11,1805.874,41,20.1
1805,12,1805.958,38.3,19.4
1806,1,1806.042,39,19.6
1806,2,1806.123,29.6,17
1806,3,1806.204,32.7,17.9
1806,4,1806.288,27.7,16.4
1806,5,1806.371,26.4,16
1806,6,1806.455,25.6,15.7
1806,7,1806.538,30,17.1
1806,8,1806.623,26.3,15.9
1806,9,1806.707,24,15.2
1806,10,1806.79,27,16.1
1806,11,1806.874,25,15.5
1806,12,1806.958,24,15.2
1807,1,1807.042,12,10.4
1807,2,1807.123,12.2,10.5
1807,3,1807.204,9.6,9.2
1807,4,1807.288,23.8,15.1
1807,5,1807.371,10,9.4
1807,6,1807.455,12,10.4
1807,7,1807.538,12.7,10.8
1807,8,1807.623,12,10.4
1807,9,1807.707,5.7,6.9
1807,10,1807.79,8,8.3
1807,11,1807.874,2.6,4.3
1807,12,1807.958,0,1
1808,1,1808.042,0,1
1808,2,1808.124,4.5,6
1808,3,1808.206,0,1
1808,4,1808.29,12.3,10.6
1808,5,1808.373,13.5,11.1
1808,6,1808.456,13.5,11.1
1808,7,1808.54,6.7,7.5
1808,8,1808.624,8,8.3
1808,9,1808.708,11.7,10.3
1808,10,1808.791,4.7,6.2
1808,11,1808.874,10.5,9.7
1808,12,1808.958,12.3,10.6
1809,1,1809.042,7.2,7.9
1809,2,1809.123,9.2,9
1809,3,1809.204,0.9,2.1
1809,4,1809.288,2.5,4.2
1809,5,1809.371,2,3.7
1809,6,1809.455,7.7,8.2
1809,7,1809.538,0.3,0.8
1809,8,1809.623,0.2,0.5
1809,9,1809.707,0.4,1.1
1809,10,1809.79,0,1
1809,11,1809.874,0,1
1809,12,1809.958,0,1
1810,1,1810.042,0,1
1810,2,1810.123,0,1
1810,3,1810.204,0,1
1810,4,1810.288,0,1
1810,5,1810.371,0,1
1810,6,1810.455,0,1
1810,7,1810.538,0,1
1810,8,1810.623,0,1
1810,9,1810.707,0,1
1810,10,1810.79,0,1
1810,11,1810.874,0,1
1810,12,1810.958,0,1
1811,1,1811.042,0,1
1811,2,1811.123,0,1
1811,3,1811.204,0,1
1811,4,1811.288,0,1
1811,5,1811.371,0,1
1811,6,1811.455,0,1
1811,7,1811.538,6.6,7.5
1811,8,1811.623,0,1
1811,9,1811.707,2.4,4.1
1811,10,1811.79,6.1,7.2
1811,11,1811.874,0.8,2
1811,12,1811.958,1.1,2.5
1812,1,1812.042,11.3,10.1
1812,2,1812.124,1.9,3.5
1812,3,1812.206,0.7,1.8
1812,4,1812.29,0,1
1812,5,1812.373,1,2.3
1812,6,1812.456,1.3,2.8
1812,7,1812.54,0.5,1.3
1812,8,1812.624,15.6,12
1812,9,1812.708,5.2,6.5
1812,10,1812.791,3.9,5.5
1812,11,1812.874,7.9,8.3
1812,12,1812.958,10.1,9.5
1813,1,1813.042,0,1
1813,2,1813.123,10.3,9.6
1813,3,1813.204,1.9,3.5
1813,4,1813.288,16.6,12.4
1813,5,1813.371,5.5,6.7
1813,6,1813.455,11.2,10
1813,7,1813.538,18.3,13.1
1813,8,1813.623,8.4,8.6
1813,9,1813.707,15.3,11.9
1813,10,1813.79,27.8,16.4
1813,11,1813.874,16.7,12.5
1813,12,1813.958,14.3,11.5
1814,1,1814.042,22.2,14.5
1814,2,1814.123,12,10.4
1814,3,1814.204,5.7,6.9
1814,4,1814.288,23.8,15.1
1814,5,1814.371,5.8,6.9
1814,6,1814.455,14.9,11.7
1814,7,1814.538,18.5,13.2
1814,8,1814.623,2.3,4
1814,9,1814.707,8.1,8.4
1814,10,1814.79,19.3,13.5
1814,11,1814.874,14.5,11.6
1814,12,1814.958,20.1,13.8
1815,1,1815.042,19.2,13.5
1815,2,1815.123,32.2,17.7
1815,3,1815.204,26.2,15.9
1815,4,1815.288,31.6,17.6
1815,5,1815.371,9.8,9.3
1815,6,1815.455,55.9,23.7
1815,7,1815.538,35.5,18.7
1815,8,1815.623,47.2,21.7
1815,9,1815.707,31.5,17.5
1815,10,1815.79,33.5,18.1
1815,11,1815.874,37.2,19.1
1815,12,1815.958,65,25.6
1816,1,1816.042,26.3,15.9
1816,2,1816.124,68.8,26.4
1816,3,1816.206,73.7,27.3
1816,4,1816.29,58.8,24.3
1816,5,1816.373,44.3,21
1816,6,1816.456,43.6,20.8
1816,7,1816.54,38.8,19.6
1816,8,1816.624,23.2,14.9
1816,9,1816.708,47.8,21.8
1816,10,1816.791,56.4,23.8
1816,11,1816.874,38.1,19.4
1816,12,1816.958,29.9,17
1817,1,1817.042,36.4,18.9
1817,2,1817.123,57.9,24.1
1817,3,1817.204,96.2,31.4
1817,4,1817.288,26.4,16
