INCITScode,state,county_or_unit,population
6081,California,San Mateo County,747373
6083,California,Santa Barbara County,435697
6085,California,Santa Clara County,1862041
6087,California,Santa Cruz County,269419
6089,California,Shasta County,178980
6091,California,Sierra County,3047
6093,California,Siskiyou County,43799
6095,California,Solano County,424788
6097,California,Sonoma County,495025
6099,California,Stanislaus County,525491
6101,California,Sutter County,95350
6103,California,Tehama County,63057
6105,California,Trinity County,13448
6107,California,Tulare County,454143
6109,California,Tuolumne County,53874
6111,California,Ventura County,839620
6113,California,Yolo County,204593
6115,California,Yuba County,73340
8001,Colorado,Adams County,469193
8003,Colorado,Alamosa County,16253
8005,Colorado,Arapahoe County,607070
8007,Colorado,Archuleta County,12194
8009,Colorado,Baca County,3682
8011,Colorado,Bent County,5688
8013,Colorado,Boulder County,310048
8014,Colorado,"Broomfield, City and County of",59471
8015,Colorado,Chaffee County,18510
8017,Colorado,Cheyenne County,1890
8019,Colorado,Clear Creek County,9031
8021,Colorado,Conejos County,8277
8023,Colorado,Costilla County,3518
8025,Colorado,Crowley County,5322
8027,Colorado,Custer County,4285
8029,Colorado,Delta County,30483
8031,Colorado,"Denver, City and County of",649495
8033,Colorado,Dolores County,2029
8035,Colorado,Douglas County,305963
8037,Colorado,Eagle County,52460
8039,Colorado,Elbert County,23733
8041,Colorado,El Paso County,655044
8043,Colorado,Fremont County,46451
8045,Colorado,Garfield County,57302
8047,Colorado,Gilpin County,5601
8049,Colorado,Grand County,14289
8051,Colorado,Gunnison County,15507
8053,Colorado,Hinsdale County,813
8055,Colorado,Huerfano County,6519
8057,Colorado,Jackson County,1365
8059,Colorado,Jefferson County,551798
8061,Colorado,Kiowa County,1423
8063,Colorado,Kit Carson County,8037
8065,Colorado,Lake County,7306
8067,Colorado,La Plata County,53284
8069,Colorado,Larimer County,315988
8071,Colorado,Las Animas County,14446
8073,Colorado,Lincoln County,5430
8075,Colorado,Logan County,22450
8077,Colorado,Mesa County,147554
8079,Colorado,Mineral County,721
8081,Colorado,Moffat County,13103
8083,Colorado,Montezuma County,25642
8085,Colorado,Montrose County,40713
8087,Colorado,Morgan County,28404
8089,Colorado,Otero County,18703
8091,Colorado,Ouray County,4557
8093,Colorado,Park County,16121
8095,Colorado,Phillips County,4356
8097,Colorado,Pitkin County,17379
8099,Colorado,Prowers County,12291
8101,Colorado,Pueblo County,161451
8103,Colorado,Rio Blanco County,6807
8105,Colorado,Rio Grande County,11803
8107,Colorado,Routt County,23513
8109,Colorado,Saguache County,6208
8111,Colorado,San Juan County,692
8113,Colorado,San Miguel County,7678
8115,Colorado,Sedgwick County,2360
8117,Colorado,Summit County,28649
8119,Colorado,Teller County,23275
8121,Colorado,Washington County,4803
8123,Colorado,Weld County,269785
8125,Colorado,Yuma County,10151
9001,Connecticut,Fairfield County,939904
9003,Connecticut,Hartford County,898272
9005,Connecticut,Litchfield County,186924
9007,Connecticut,Middlesex County,165562
9009,Connecticut,New Haven County,862287
9011,Connecticut,New London County,274150
9013,Connecticut,Tolland County,151377
9015,Connecticut,Windham County,117604
10001,Delaware,Kent County,169416
10003,Delaware,New Castle County,549684
10005,Delaware,Sussex County,206649
11001,District of Columbia,District of Columbia,646449
12001,Florida,Alachua County,253451
12003,Florida,Baker County,27013
12005,Florida,Bay County,174987
12007,Florida,Bradford County,26850
12009,Florida,Brevard County,550823
12011,Florida,Broward County,1838844
12013,Florida,Calhoun County,14682
12015,Florida,Charlotte County,164736
12017,Florida,Citrus County,139271
12019,Florida,Clay County,196399
12021,Florida,Collier County,339642
12023,Florida,Columbia County,67543
12027,Florida,DeSoto County,34517
12029,Florida,Dixie County,15940
12031,Florida,Duval County,885855
12033,Florida,Escambia County,305817
12035,Florida,Flagler County,99956
12037,Florida,Franklin County,11598
12039,Florida,Gadsden County,46194
12041,Florida,Gilchrist County,16931
12043,Florida,Glades County,13345
12045,Florida,Gulf County,15829
12047,Florida,Hamilton County,14354
12049,Florida,Hardee County,27519
12051,Florida,Hendry County,37471
12053,Florida,Hernando County,174441
12055,Florida,Highlands County,97616
12057,Florida,Hillsborough County,1291578
12059,Florida,Holmes County,19717
12061,Florida,Indian River County,141994
12063,Florida,Jackson County,48922
12065,Florida,Jefferson County,14194
12067,Florida,Lafayette County,8848
12069,Florida,Lake County,308034
12071,Florida,Lee County,661115
12073,Florida,Leon County,281845
12075,Florida,Levy County,39644
12077,Florida,Liberty County,8349
12079,Florida,Madison County,18728
12081,Florida,Manatee County,342106
12083,Florida,Marion County,337362
12085,Florida,Martin County,151263
12086,Florida,Miami-Dade County,2617176
12087,Florida,Monroe County,76351
12089,Florida,Nassau County,75710
12091,Florida,Okaloosa County,193811
12093,Florida,Okeechobee County,39330
12095,Florida,Orange County,1225267
12097,Florida,Osceola County,298504
12099,Florida,Palm Beach County,1372171
12101,Florida,Pasco County,475502
12103,Florida,Pinellas County,929048
12105,Florida,Polk County,623009
12107,Florida,Putnam County,72577
12109,Florida,St. Johns County,209647
12111,Florida,St. Lucie County,286832
12113,Florida,Santa Rosa County,161096
12115,Florida,Sarasota County,390429
12117,Florida,Seminole County,436041
12119,Florida,Sumter County,107056
12121,Florida,Suwannee County,43734
12123,Florida,Taylor County,22857
12125,Florida,Union County,15136
12127,Florida,Volusia County,500800
12129,Florida,Wakulla County,31022
12131,Florida,Walton County,59807
12133,Florida,Washington County,24624
13001,Georgia,Appling County,18440
13003,Georgia,Atkinson County,8290
13005,Georgia,Bacon County,11216
13007,Georgia,Baker County,3341
13009,Georgia,Baldwin County,46039
13011,Georgia,Banks County,18415
13013,Georgia,Barrow County,71453
13015,Georgia,Bartow County,101273
13017,Georgia,Ben Hill County,17515
13019,Georgia,Berrien County,19048
13021,Georgia,Bibb County,154721
13023,Georgia,Bleckley County,12771
13025,Georgia,Brantley County,18292
13027,Georgia,Brooks County,15516
13029,Georgia,Bryan County,33157
13031,Georgia,Bulloch County,71214
13033,Georgia,Burke County,22923
13035,Georgia,Butts County,23361
13037,Georgia,Calhoun County,6523
13039,Georgia,Camden County,51476
13043,Georgia,Candler County,10937
13045,Georgia,Carroll County,112355
13047,Georgia,Catoosa County,65311
13049,Georgia,Charlton County,13255
13051,Georgia,Chatham County,278434
13053,Georgia,Chattahoochee County,12842
13055,Georgia,Chattooga County,25138
13057,Georgia,Cherokee County,225106
13059,Georgia,Clarke County,121265
13061,Georgia,Clay County,3045
13063,Georgia,Clayton County,264220
13065,Georgia,Clinch County,6795
13067,Georgia,Cobb County,717190
13069,Georgia,Coffee County,43220
13071,Georgia,Colquitt County,46275
13073,Georgia,Columbia County,135416
13075,Georgia,Cook County,17066
13077,Georgia,Coweta County,133180
13079,Georgia,Crawford County,12504
13081,Georgia,Crisp County,23336
13083,Georgia,Dade County,16507
13085,Georgia,Dawson County,22686
13087,Georgia,Decatur County,27359
13089,Georgia,DeKalb County,713340
13091,Georgia,Dodge County,21221
13093,Georgia,Dooly County,14304
13095,Georgia,Dougherty County,92969
13097,Georgia,Douglas County,136379
13099,Georgia,Early County,10542
13101,Georgia,Echols County,4057
13103,Georgia,Effingham County,54456
13105,Georgia,Elbert County,19599
13107,Georgia,Emanuel County,22867
13109,Georgia,Evans County,10833
13111,Georgia,Fannin County,23760
13113,Georgia,Fayette County,108365
13115,Georgia,Floyd County,95821
13117,Georgia,Forsyth County,195405
13119,Georgia,Franklin County,22009
13121,Georgia,Fulton County,984293
13123,Georgia,Gilmer County,28579
13125,Georgia,Glascock County,3102
13127,Georgia,Glynn County,81508
13129,Georgia,Gordon County,55757
13131,Georgia,Grady County,25278
13133,Georgia,Greene County,16321
13135,Georgia,Gwinnett County,859304
13137,Georgia,Habersham County,43300
13139,Georgia,Hall County,187745
13141,Georgia,Hancock County,8879
13143,Georgia,Haralson County,28495
13145,Georgia,Harris County,32663
13147,Georgia,Hart County,25446
13149,Georgia,Heard County,11558
13151,Georgia,Henry County,211128
13153,Georgia,Houston County,147658
13155,Georgia,Irwin County,9427
13157,Georgia,Jackson County,61044
13159,Georgia,Jasper County,13601
13161,Georgia,Jeff Davis County,15004
13163,Georgia,Jefferson County,16320
13165,Georgia,Jenkins County,9269
13167,Georgia,Johnson County,9767
13169,Georgia,Jones County,28569
13171,Georgia,Lamar County,17959
13173,Georgia,Lanier County,10408
13175,Georgia,Laurens County,47999
13177,Georgia,Lee County,29071
13179,Georgia,Liberty County,64135
13181,Georgia,Lincoln County,7751
13183,Georgia,Long County,16624
13185,Georgia,Lowndes County,112916
13187,Georgia,Lumpkin County,30918
13189,Georgia,McDuffie County,21565
13191,Georgia,McIntosh County,14007
13193,Georgia,Macon County,14009
13195,Georgia,Madison County,28057
13197,Georgia,Marion County,8640
13199,Georgia,Meriwether County,21232
13201,Georgia,Miller County,5932
13205,Georgia,Mitchell County,23045
13207,Georgia,Monroe County,26984
13209,Georgia,Montgomery County,9021
13211,Georgia,Morgan County,17781
13213,Georgia,Murray County,39267
13215,Georgia,Muscogee County,202824
13217,Georgia,Newton County,102446
13219,Georgia,Oconee County,34035
13221,Georgia,Oglethorpe County,14548
13223,Georgia,Paulding County,146950
13225,Georgia,Peach County,27014
13227,Georgia,Pickens County,29584
13229,Georgia,Pierce County,18938
13231,Georgia,Pike County,17796
13233,Georgia,Polk County,41183
13235,Georgia,Pulaski County,11542
13237,Georgia,Putnam County,21371
13239,Georgia,Quitman County,2367
13241,Georgia,Rabun County,16235
13243,Georgia,Randolph County,7197
13245,Georgia,Richmond County,202003
13247,Georgia,Rockdale County,86919
13249,Georgia,Schley County,5089
13251,Georgia,Screven County,14240
13253,Georgia,Seminole County,8945
13255,Georgia,Spalding County,63829
13257,Georgia,Stephens County,25683
13259,Georgia,Stewart County,5868
13261,Georgia,Sumter County,31364
13263,Georgia,Talbot County,6456
13265,Georgia,Taliaferro County,1703
13267,Georgia,Tattnall County,25526
13269,Georgia,Taylor County,8464
13271,Georgia,Telfair County,16591
13273,Georgia,Terrell County,9022
13275,Georgia,Thomas County,44869
13277,Georgia,Tift County,40286
13279,Georgia,Toombs County,27273
13281,Georgia,Towns County,10771
13283,Georgia,Treutlen County,6712
13285,Georgia,Troup County,69053
13287,Georgia,Turner County,8134
13289,Georgia,Twiggs County,8481
13291,Georgia,Union County,21566
13293,Georgia,Upson County,26566
13295,Georgia,Walker County,68198
13297,Georgia,Walton County,85754
13299,Georgia,Ware County,35709
13301,Georgia,Warren County,5558
13303,Georgia,Washington County,20676
13305,Georgia,Wayne County,30077
13307,Georgia,Webster County,2719
13309,Georgia,Wheeler County,7909
13311,Georgia,White County,27797
13313,Georgia,Whitfield County,102945
13315,Georgia,Wilcox County,8960
13317,Georgia,Wilkes County,10010
13319,Georgia,Wilkinson County,9432
13321,Georgia,Worth County,21291
15001,Hawai?i,Hawaii County,190821
15003,Hawai?i,"Honolulu, City and County of",983429
15005,Hawai?i,Kalawao County,90
15007,Hawai?i,Kauai County,69512
15009,Hawai?i,Maui County,160202
16001,Idaho,Ada County,416464
16003,Idaho,Adams County,3828
16005,Idaho,Bannock County,83249
16007,Idaho,Bear Lake County,5943
16009,Idaho,Benewah County,9044
16011,Idaho,Bingham County,45290
16013,Idaho,Blaine County,21329
16015,Idaho,Boise County,6795
16017,Idaho,Bonner County,40699
16019,Idaho,Bonneville County,107517
16021,Idaho,Boundary County,10853
16023,Idaho,Butte County,2642
16025,Idaho,Camas County,1042
16027,Idaho,Canyon County,198871
16029,Idaho,Caribou County,6808
16031,Idaho,Cassia County,23331
16033,Idaho,Clark County,867
16035,Idaho,Clearwater County,8577
16037,Idaho,Custer County,4249
16039,Idaho,Elmore County,26170
16041,Idaho,Franklin County,12854
16043,Idaho,Fremont County,12927
16045,Idaho,Gem County,16686
16047,Idaho,Gooding County,15080
16049,Idaho,Idaho County,16116
16051,Idaho,Jefferson County,26914
16053,Idaho,Jerome County,22514
16055,Idaho,Kootenai County,144265
16057,Idaho,Latah County,38078
16059,Idaho,Lemhi County,7712
16061,Idaho,Lewis County,3902
16063,Idaho,Lincoln County,5315
16065,Idaho,Madison County,37450
16067,Idaho,Minidoka County,20292
16069,Idaho,Nez Perce County,39915
16071,Idaho,Oneida County,4275
16073,Idaho,Owyhee County,11472
16075,Idaho,Payette County,22610
16077,Idaho,Power County,7719
16079,Idaho,Shoshone County,12690
16081,Idaho,Teton County,10275
16083,Idaho,Twin Falls County,79957
16085,Idaho,Valley County,9606
16087,Idaho,Washington County,9944
17001,Illinois,Adams County,67130
17003,Illinois,Alexander County,7629
17005,Illinois,Bond County,17470
17007,Illinois,Boone County,53957
17009,Illinois,Brown County,6860
17011,Illinois,Bureau County,34056
17013,Illinois,Calhoun County,5059
17015,Illinois,Carroll County,14910
17017,Illinois,Cass County,13324
17019,Illinois,Champaign County,204897
17021,Illinois,Christian County,34298
17023,Illinois,Clark County,16182
17025,Illinois,Clay County,13566
17027,Illinois,Clinton County,37907
17029,Illinois,Coles County,53697
17031,Illinois,Cook County,5240700
17033,Illinois,Crawford County,19505
17035,Illinois,Cumberland County,10939
17037,Illinois,DeKalb County,104741
17039,Illinois,De Witt County,16420
17041,Illinois,Douglas County,19887
17043,Illinois,DuPage County,932126
17045,Illinois,Edgar County,17960
17047,Illinois,Edwards County,6672
17049,Illinois,Effingham County,34307
17051,Illinois,Fayette County,22060
17053,Illinois,Ford County,13832
17055,Illinois,Franklin County,39202
17057,Illinois,Fulton County,36346
17059,Illinois,Gallatin County,5415
17061,Illinois,Greene County,13629
17063,Illinois,Grundy County,50228
17065,Illinois,Hamilton County,8368
17067,Illinois,Hancock County,18618
17069,Illinois,Hardin County,4181
17071,Illinois,Henderson County,6990
17073,Illinois,Henry County,49860
17075,Illinois,Iroquois County,28982
17077,Illinois,Jackson County,59814
17079,Illinois,Jasper County,9592
17081,Illinois,Jefferson County,38644
17083,Illinois,Jersey County,22641
17085,Illinois,Jo Daviess County,22407
17087,Illinois,Johnson County,12677
17089,Illinois,Kane County,523643
17091,Illinois,Kankakee County,112120
17093,Illinois,Kendall County,119348
17095,Illinois,Knox County,52078
17097,Illinois,Lake County,703019
17099,Illinois,LaSalle County,112183
17101,Illinois,Lawrence County,16558
17103,Illinois,Lee County,34858
17105,Illinois,Livingston County,38186
17107,Illinois,Logan County,29964
17109,Illinois,McDonough County,32464
17111,Illinois,McHenry County,307409
17113,Illinois,McLean County,174647
17115,Illinois,Macon County,109278
17117,Illinois,Macoupin County,46880
17119,Illinois,Madison County,267225
17121,Illinois,Marion County,38622
17123,Illinois,Marshall County,12153
17125,Illinois,Mason County,14248
17127,Illinois,Massac County,15073
17129,Illinois,Menard County,12607
17131,Illinois,Mercer County,16178
17133,Illinois,Monroe County,33493
17135,Illinois,Montgomery County,29654
17137,Illinois,Morgan County,35067
17139,Illinois,Moultrie County,14876
17141,Illinois,Ogle County,52385
17143,Illinois,Peoria County,188429
17145,Illinois,Perry County,21887
17147,Illinois,Piatt County,16433
17149,Illinois,Pike County,16150
17151,Illinois,Pope County,4312
17153,Illinois,Pulaski County,5908
17155,Illinois,Putnam County,5801
17157,Illinois,Randolph County,32890
17159,Illinois,Richland County,16182
17161,Illinois,Rock Island County,147258
17163,Illinois,St. Clair County,266955
17165,Illinois,Saline County,24939
17167,Illinois,Sangamon County,199145
17169,Illinois,Schuyler County,7444
17171,Illinois,Scott County,5222
17173,Illinois,Shelby County,22119
17175,Illinois,Stark County,5907
17177,Illinois,Stephenson County,46740
17179,Illinois,Tazewell County,136352
17181,Illinois,Union County,17583
17183,Illinois,Vermilion County,80329
17185,Illinois,Wabash County,11665
17187,Illinois,Warren County,17726
17189,Illinois,Washington County,14448
17191,Illinois,Wayne County,16612
17193,Illinois,White County,14549
17195,Illinois,Whiteside County,57557
17197,Illinois,Will County,682829
17199,Illinois,Williamson County,66924
17201,Illinois,Winnebago County,290666
17203,Illinois,Woodford County,39273
18001,Indiana,Adams County,34614
18003,Indiana,Allen County,363014
18005,Indiana,Bartholomew County,79587
18007,Indiana,Benton County,8767
18009,Indiana,Blackford County,12481
18011,Indiana,Boone County,60477
18013,Indiana,Brown County,15023
18015,Indiana,Carroll County,20086
18017,Indiana,Cass County,38463
18019,Indiana,Clark County,112938
18021,Indiana,Clay County,26803
18023,Indiana,Clinton County,32916
18025,Indiana,Crawford County,10621
18027,Indiana,Daviess County,32407
18029,Indiana,Dearborn County,49904
18031,Indiana,Decatur County,26277
18033,Indiana,DeKalb County,42307
18035,Indiana,Delaware County,117484
18037,Indiana,Dubois County,42361
18039,Indiana,Elkhart County,200563
18041,Indiana,Fayette County,23861
18043,Indiana,Floyd County,76244
18045,Indiana,Fountain County,16880
18047,Indiana,Franklin County,22951
18049,Indiana,Fulton County,20449
18051,Indiana,Gibson County,33612
18053,Indiana,Grant County,69126
18055,Indiana,Greene County,32781
18057,Indiana,Hamilton County,296693
18059,Indiana,Hancock County,71575
18061,Indiana,Harrison County,39163
18063,Indiana,Hendricks County,153879
18065,Indiana,Henry County,49044
18067,Indiana,Howard County,82760
18069,Indiana,Huntington County,36791
18071,Indiana,Jackson County,43466
18073,Indiana,Jasper County,33389
18075,Indiana,Jay County,21330
18077,Indiana,Jefferson County,32458
18079,Indiana,Jennings County,28241
18081,Indiana,Johnson County,145535
18083,Indiana,Knox County,37954
18085,Indiana,Kosciusko County,77963
18087,Indiana,LaGrange County,37996
18089,Indiana,Lake County,491456
18091,Indiana,LaPorte County,111281
18093,Indiana,Lawrence County,45844
18095,Indiana,Madison County,130482
18097,Indiana,Marion County,928281
18099,Indiana,Marshall County,47109
18101,Indiana,Martin County,10160
18103,Indiana,Miami County,36140
18105,Indiana,Monroe County,141888
18107,Indiana,Montgomery County,38177
18109,Indiana,Morgan County,69782
18111,Indiana,Newton County,14087
18113,Indiana,Noble County,47570
18115,Indiana,Ohio County,5994
18117,Indiana,Orange County,19773
18119,Indiana,Owen County,21201
18121,Indiana,Parke County,17202
18123,Indiana,Perry County,19558
18125,Indiana,Pike County,12683
18127,Indiana,Porter County,166557
18129,Indiana,Posey County,25486
18131,Indiana,Pulaski County,13007
18133,Indiana,Putnam County,37505
18135,Indiana,Randolph County,25627
18137,Indiana,Ripley County,28419
18139,Indiana,Rush County,17004
18141,Indiana,St. Joseph County,266709
18143,Indiana,Scott County,23972
18145,Indiana,Shelby County,44729
18147,Indiana,Spencer County,20944
18149,Indiana,Starke County,23197
18151,Indiana,Steuben County,34358
18153,Indiana,Sullivan County,21223
18155,Indiana,Switzerland County,10526
18157,Indiana,Tippecanoe County,180174
18159,Indiana,Tipton County,15650
18161,Indiana,Union County,7277
18163,Indiana,Vanderburgh County,181398
18165,Indiana,Vermillion County,15878
18167,Indiana,Vigo County,108291
18169,Indiana,Wabash County,32358
18171,Indiana,Warren County,8415
18173,Indiana,Warrick County,61049
18175,Indiana,Washington County,27780
18177,Indiana,Wayne County,67893
18179,Indiana,Wells County,27814
18181,Indiana,White County,24466
18183,Indiana,Whitley County,33294
19001,Iowa,Adair County,7472
19003,Iowa,Adams County,3894
19005,Iowa,Allamakee County,14169
19007,Iowa,Appanoose County,12692
19009,Iowa,Audubon County,5873
19011,Iowa,Benton County,25699
19013,Iowa,Black Hawk County,132546
19015,Iowa,Boone County,26364
19017,Iowa,Bremer County,24624
19019,Iowa,Buchanan County,20976
19021,Iowa,Buena Vista County,20567
19023,Iowa,Butler County,15021
19025,Iowa,Calhoun County,9926
19027,Iowa,Carroll County,20598
19029,Iowa,Cass County,13598
19031,Iowa,Cedar County,18393
19033,Iowa,Cerro Gordo County,43575
19035,Iowa,Cherokee County,11945
19037,Iowa,Chickasaw County,12321
19039,Iowa,Clarke County,9325
19041,Iowa,Clay County,16491
19043,Iowa,Clayton County,17773
19045,Iowa,Clinton County,48420
19047,Iowa,Crawford County,17434
19049,Iowa,Dallas County,74641
19051,Iowa,Davis County,8791
19053,Iowa,Decatur County,8136
19055,Iowa,Delaware County,17534
